Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
26/8/2025 08:50,Tuesday Back And Biceps,34m,Lat Pulldown (Cable),1,35,5,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Lat Pulldown (Cable),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Lat Pulldown (Cable),2,35,5,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Lat Pulldown (Cable),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Lat Pulldown (Cable),3,35,6,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Lat Pulldown (Cable),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Lat Pulldown (Cable),4,35,6,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Lat Pulldown (Cable),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Triceps Pushdown (Cable - Straight Bar),1,23,4,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Triceps Pushdown (Cable - Straight Bar),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Triceps Pushdown (Cable - Straight Bar),2,18.5,8,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Triceps Pushdown (Cable - Straight Bar),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Triceps Pushdown (Cable - Straight Bar),3,18.5,8,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Triceps Pushdown (Cable - Straight Bar),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Triceps Pushdown (Cable - Straight Bar),4,1.85,6,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Triceps Pushdown (Cable - Straight Bar),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bent Over One Arm Row (Dumbbell),1,25,8,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bent Over One Arm Row (Dumbbell),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bent Over One Arm Row (Dumbbell),2,25,10,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bent Over One Arm Row (Dumbbell),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bent Over One Arm Row (Dumbbell),3,30,6,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bent Over One Arm Row (Dumbbell),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bicep Curl (Dumbbell),1,20,7,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bicep Curl (Dumbbell),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bicep Curl (Dumbbell),2,20,7,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bicep Curl (Dumbbell),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bicep Curl (Dumbbell),3,20,5,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Bicep Curl (Dumbbell),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Hammer Curl (Dumbbell),1,20,5,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Hammer Curl (Dumbbell),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Hammer Curl (Dumbbell),2,15,8,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Hammer Curl (Dumbbell),Rest Timer,0,0,0,90,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Hammer Curl (Dumbbell),3,15,8,0,0,
26/8/2025 08:50,Tuesday Back And Biceps,34m,Hammer Curl (Dumbbell),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Squat (Smith Machine),1,60,6,0,0,
27/8/2025 08:44,Leg,35m,Squat (Smith Machine),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Squat (Smith Machine),2,60,5,0,0,
27/8/2025 08:44,Leg,35m,Squat (Smith Machine),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Squat (Smith Machine),3,60,5,0,0,
27/8/2025 08:44,Leg,35m,Squat (Smith Machine),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Squat (Smith Machine),4,60,5,0,0,
27/8/2025 08:44,Leg,35m,Squat (Smith Machine),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Romanian Deadlift (Dumbbell),1,35,8,0,0,
27/8/2025 08:44,Leg,35m,Romanian Deadlift (Dumbbell),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Romanian Deadlift (Dumbbell),2,35,8,0,0,
27/8/2025 08:44,Leg,35m,Romanian Deadlift (Dumbbell),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Romanian Deadlift (Dumbbell),3,35,8,0,0,
27/8/2025 08:44,Leg,35m,Romanian Deadlift (Dumbbell),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Romanian Deadlift (Dumbbell),4,35,8,0,0,
27/8/2025 08:44,Leg,35m,Romanian Deadlift (Dumbbell),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Standing Calf Raise (Dumbbell),1,40,16,0,0,
27/8/2025 08:44,Leg,35m,Standing Calf Raise (Dumbbell),Rest Timer,0,0,0,45,
27/8/2025 08:44,Leg,35m,Standing Calf Raise (Dumbbell),2,40,16,0,0,
27/8/2025 08:44,Leg,35m,Standing Calf Raise (Dumbbell),Rest Timer,0,0,0,45,
27/8/2025 08:44,Leg,35m,Standing Calf Raise (Dumbbell),3,40,16,0,0,
27/8/2025 08:44,Leg,35m,Standing Calf Raise (Dumbbell),Rest Timer,0,0,0,45,
27/8/2025 08:44,Leg,35m,Leg Extension (Machine),1,50,8,0,0,
27/8/2025 08:44,Leg,35m,Leg Extension (Machine),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Leg Extension (Machine),2,60,8,0,0,
27/8/2025 08:44,Leg,35m,Leg Extension (Machine),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Leg Extension (Machine),3,60,8,0,0,
27/8/2025 08:44,Leg,35m,Leg Extension (Machine),Rest Timer,0,0,0,90,
27/8/2025 08:44,Leg,35m,Stiff Leg Deadlift (Dumbbell),1,35,8,0,0,
27/8/2025 08:44,Leg,35m,Stiff Leg Deadlift (Dumbbell),Rest Timer,0,0,0,90,
